,StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,Salary Package,IsAnomaly,PlacementStatus
count,50000.0,50000,50000,50000,50000,50000,50000,50000,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,45512.0,50000.0,50000.0,45971.0,46474.0,47024.0,45043.0,50000.0,50000,50000.0,50000.0,50000.0
unique,,2,10,3,6,4,2,2,,,,,,,,,,,,,,,,,,,,,3,,,
top,,Male,Hyderabad,Tier2,CS,Embedded,Yes,No,,,,,,,,,,,,,,,,,,,,,Low,,,
freq,,30133,8114,23315,13937,13614,27785,40893,,,,,,,,,,,,,,,,,,,,,16733,,,
mean,25000.5,,,,,,,,7.2105828,7.2222428,7.2353976,7.247290400000001,7.258639000000001,7.2745108,7.2827202,7.2937036,7.246153800000001,76.7098628072354,1.12774,2.10952,1.8044691509931448,1.93142,0.73546,68.85926127341149,3.1542109566639414,57.41127296699558,55.40852962724507,0.533,,9.5361188,0.035,0.65712
std,14433.90106658626,,,,,,,,1.517846148159539,1.5320080087319834,1.5516323769420717,1.5706286536145937,1.5878286247809723,1.6032605769409136,1.6216054139630676,1.6381120485390221,1.6156861086168908,12.474386264810542,0.8136312016599697,1.2076069459433885,1.0361929507677416,1.17539117509376,0.7171672573239102,15.365229700900278,0.9813333295740743,20.979679040782234,17.522179505721518,0.4989148006619631,,8.824560892519553,0.18378159732005345,0.47467653402737225
min,1.0,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,15.9,0.0,,0.0,0.0,0.0
25%,12500.75,,,,,,,,6.09,6.09,6.08,6.07,6.07,6.08,6.06,6.06,6.04,67.6,1.0,1.0,1.0,1.0,0.0,58.5,2.4,45.9,44.2,0.0,,0.0,0.0,0.0
50%,25000.5,,,,,,,,7.19,7.21,7.22,7.24,7.26,7.28,7.3,7.31,7.25,77.2,1.0,2.0,2.0,2.0,1.0,69.9,3.2,57.7,54.7,1.0,,8.43,0.0,1.0
75%,37500.25,,,,,,,,8.34,8.36,8.4,8.43,8.46,8.5,8.52,8.56,8.48,85.9,2.0,3.0,3.0,3.0,1.0,79.7,3.9,73.3,69.2,1.0,,18.41,0.0,1.0
max,50000.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,3.0,5.0,4.0,5.0,3.0,100.0,5.0,100.0,100.0,1.0,,26.0,1.0,1.0
