Feature,Normal_Equation,Gradient_Descent_Scaled
Intercept,-0.6125961972705675,-0.0010387472640115475
StudentID,-0.011867244815228427,-0.011387187834397468
Gender,-0.0019684231194316863,-0.00094079714183639
City,0.0003838537357090177,0.0008282873049594194
CollegeTier,-0.015278724912605153,-0.013485933086679766
Stream,-0.004650299804041537,-0.008057924282382372
Specialisation,-0.005083283790934664,-0.00521855854181592
Hostel,0.0021118436345544493,0.0004297359619834042
HistoryOfBacklogs,-0.19732372351477845,-0.08350999630185281
SGPA_Sem1,-0.034417591218755886,-0.029337879191684523
SGPA_Sem2,-0.053901084079854486,-0.030446122267322698
SGPA_Sem3,-0.02452802891929373,-0.01547566716890807
SGPA_Sem4,-0.020875836398213075,-0.007169377243542395
SGPA_Sem5,0.009084264518129642,0.012175187500001171
SGPA_Sem6,0.029458450619343747,0.021970821319566593
SGPA_Sem7,0.0273468130165028,0.026360364106253704
SGPA_Sem8,0.04272722468167293,0.04450959015908333
CGPA,-0.189910266399204,-0.1581679264887595
AttendancePercent,0.01744449550145745,0.015193549316104412
Internships,0.04366198010376338,0.04774606904223732
Projects,0.05124982423472095,0.051381379503179635
Workshops,-0.00495333298201009,-0.0029336533843966972
Certifications,0.007134128588041379,0.008708030374226745
Publications,-0.036589647023120175,-0.037186717515727545
AptitudeTestScore,0.07498431192717078,0.06647948522072436
SoftSkillsRating,0.044007779372390685,0.0601055799088694
CodingTestScore,7.028985874309506e-05,0.015924417475963754
MockInterviewScore,0.028895469837647524,0.04229035350917373
ExtraCurricular,-0.08112648157064019,-0.06861562253214402
CGPA_Tier,0.6093111834907563,0.44989517780531413
Salary Package,1.1051663064302553,0.9943127110678771
IsAnomaly,-0.008233993404397682,-0.009798936389719128
